NO	FILE	COMPARISON	ADJ_LEMMA	CORPUS	YEAR	VARIETY	NEWSPAPER	WORD_COUNT	FORM	ADJ_LEN	READABILITY	LEXDIV	STRESS_LAST_SYLL	PERSIST_COMP	PERSIST_FORM	PERSIST_DIST	SYNT_FUN	ADVMOD	COMPL	ZIPF_FREQ	DPNOFREQ	RHY_SCORE_POS	RHY_SCORE_ALT_POS	SEG_SCORE	SEG_SCORE_ALT	FINAL_SEGMENT
217734	41690353	synthetic	young	NOW2020	2020	BrE	Independent	2979	superlative	5	1896,419682	-64,70857825	y	synthetic	superlative	133	a	n	n	5,620822579	0,032370085	0	0,333333333	0,202020202	0,202020202	0,5
217738	41690353	synthetic	young	NOW2020	2020	BrE	Independent	2979	superlative	5	1896,419682	-64,70857825	y	synthetic	comparative	362	a	n	n	5,620822579	0,032370085	0	0,333333333	0,202020202	0,202020202	0,5
219192	41786645	synthetic	good	NOW2020	2020	BrE	Independent	2063	superlative	4	37,5136304	9,090747933	y	synthetic	superlative	319	a	n	n	6,239948832	0,031269529	0,333333333	0,333333333	0,202020202	0,228571429	0,5
219186	41786645	synthetic	good	NOW2020	2020	BrE	Independent	2063	superlative	4	37,5136304	9,090747933	y	synthetic	superlative	344	a	n	n	6,239948832	0,031269529	0,333333333	0,333333333	0,202020202	0,228571429	0,5
218871	41765770	synthetic	old	NOW2020	2020	BrE	Daily Mail	1576	comparative	3	437,0157848	39,7035352	y	synthetic	comparative	157	a	n	n	5,948416439	0,038079351	0	0,333333333	0,203409091	0,247377622	0,416666667
218869	41765770	synthetic	old	NOW2020	2020	BrE	Daily Mail	1576	comparative	3	437,0157848	39,7035352	y	synthetic	superlative	317	a	n	n	5,948416439	0,038079351	0	0,333333333	0,203409091	0,247377622	0,416666667
170202	4703985	analytic	conservative	SAVE2020	2020	LK	Daily Mirror	603	comparative	12	-111,3563484	-7,109070783	n	synthetic	superlative	44	p	n	t	4,363349595	0,024274826	0,25	0	0,203947368	0,149305556	0
232369	41616734	analytic	decisive	NOW2020	2020	BrE	Independent	1176	comparative	8	1214,987784	17,09110415	n	synthetic	superlative	875	p	n	i	3,976227021	0,004810063	0,125	0,1	0,204761905	0,079059829	0
157978	4724828	synthetic	strong	SAVE2020	2020	LK	Daily News	797	comparative	6	-492,5586553	-34,18652865	y	none	none	none	p	y	t	5,454751526	0,152393341	0	0,2	0,205263158	0,166666667	0,25
219497	41816772	synthetic	good	NOW2020	2020	BrE	Daily Mail	786	comparative	4	2695,835569	3,082387183	y	none	none	none	a	n	n	6,239948832	0,031269529	0	0,333333333	0,205263158	0,244047619	0,25
150880	4704150	synthetic	good	SAVE2020	2020	LK	Daily Mirror	1096	superlative	4	-156,5271334	0,877490109	y	synthetic	comparative	84	a	n	n	6,377398081	0,189114879	0,125	0,125	0,207142857	0,22875817	0,5
170289	4704898	analytic	fundamental	SAVE2020	2020	LK	Daily Mirror	1702	superlative	11	-116,9448209	30,25116264	n	none	none	none	a	n	n	4,89	0,070023558	0	0	0,210526316	0,166666667	0,75
170291	4704898	analytic	important	SAVE2020	2020	LK	Daily Mirror	1702	superlative	9	-116,9448209	30,25116264	n	analytic	comparative	1940	a	n	n	5,557312379	0,161559804	0	0	0,210526316	0,272058824	0,833333333
171701	4725804	analytic	popular	SAVE2020	2020	LK	Daily News	323	superlative	7	-43,66138392	11,24965135	n	none	none	none	a	n	n	5,122240758	0,10242213	0	0	0,210526316	0,210526316	0,75
170203	4703985	analytic	probable	SAVE2020	2020	LK	Daily Mirror	603	superlative	8	-111,3563484	-7,109070783	y	analytic	comparative	46	a	n	n	3,64615477	0,005482663	0	0	0,211111111	0,157894737	0,75
151199	4704826	synthetic	close	SAVE2020	2020	LK	Daily Mirror	1083	comparative	5	-85,57405884	27,5466423	y	analytic	superlative	2047	a	n	n	5,517060074	0,123051045	0,2	0,2	0,211111111	0,256578947	0,25
217740	41690353	synthetic	old	NOW2020	2020	BrE	Independent	2979	comparative	3	1896,419682	-64,70857825	y	synthetic	comparative	2266	a	n	t	5,948416439	0,038079351	0,5	0	0,211111111	0,286363636	0,416666667
219656	41829029	synthetic	old	NOW2020	2020	BrE	Daily Mail	778	comparative	3	2422,577929	19,30350486	y	none	none	none	a	n	n	5,948416439	0,038079351	0,2	0,6	0,211397059	0,256535948	0,416666667
171537	4720967	analytic	important	SAVE2020	2020	LK	Daily News	1448	comparative	9	-182,9505588	16,67887619	n	synthetic	superlative	535	p	n	p	5,557312379	0,161559804	0	0	0,214285714	0,153846154	0,666666667
